# Generated by runscripts/reconstruction/polycistronic_rnas/create_tu_files.py on Mon Oct 26 18:23:02 2020 
"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"6S-RNA"	"miscRNA"	[]	["EG30099"]	[]
"C0067-RNA"	"miscRNA"	[]	["G0-8896"]	[]
"C0293-RNA"	"miscRNA"	[]	["G0-8897"]	[]
"C0299-RNA"	"miscRNA"	[]	["G0-8898"]	[]
"C0343-RNA"	"miscRNA"	[]	["G0-8900"]	[]
"C0362-RNA"	"miscRNA"	[]	["G0-8902"]	[]
"C0465-RNA"	"miscRNA"	[]	["G0-8903"]	[]
"C0614-RNA"	"miscRNA"	[]	["G0-8907"]	[]
"C0664-RNA"	"miscRNA"	[]	["G0-8911"]	[]
"C0719-RNA"	"miscRNA"	[]	["G0-8912"]	[]
"C0730-RNA"	"miscRNA"	[]	["G0-8913"]	[]
"CSRB-RNA"	"miscRNA"	[]	["G0-8785"]	[]
"CSRC-RNA"	"miscRNA"	[]	["G0-8874"]	[]
"DICF-RNA"	"miscRNA"	[]	["EG31115"]	[]
"DSRA-RNA"	"miscRNA"	[]	["G7047"]	[]
"EG10001_RNA"	"mRNA"	[]	["EG10001"]	["ALARACEBIOSYN-MONOMER"]
"EG10002_RNA"	"mRNA"	[]	["EG10002"]	["MODB-MONOMER"]
"EG10003_RNA"	"mRNA"	[]	["EG10003"]	["EG10003-MONOMER"]
"EG10004_RNA"	"mRNA"	[]	["EG10004"]	["EG10004-MONOMER"]
"EG10006_RNA"	"mRNA"	[]	["EG10006"]	["DCUB-MONOMER"]
"EG10007_RNA"	"mRNA"	[]	["EG10007"]	["HISM-MONOMER"]
"EG10008_RNA"	"mRNA"	[]	["EG10008"]	["HYDH-MONOMER"]
"EG10010_RNA"	"mRNA"	[]	["EG10010"]	["EG10010-MONOMER"]
"EG10011_RNA"	"mRNA"	[]	["EG10011"]	["EG10011-MONOMER"]
"EG10012_RNA"	"mRNA"	[]	["EG10012"]	["CYDC-MONOMER"]
"EG10013_RNA"	"mRNA"	[]	["EG10013"]	["EG10013-MONOMER"]
"EG10014_RNA"	"mRNA"	[]	["EG10014"]	["ACRD-MONOMER"]
"EG10015_RNA"	"mRNA"	[]	["EG10015"]	["EG10015-MONOMER"]
"EG10016_RNA"	"mRNA"	[]	["EG10016"]	["KDGALDOL-MONOMER"]
"EG10017_RNA"	"mRNA"	[]	["EG10017"]	["OPPSYN-MONOMER"]
